date,crude_oil_avg,coal_australia,natural_gas_us,fertiliser_urea,phosphate_rock
2003-04-13,27.909023199019998,24.20769230769231,5.494084423076924,124.6048076923077,44.0
2003-04-20,27.91018315018,24.192307692307693,5.533773076923077,125.9326923076923,44.0
2003-04-27,27.91134310134,24.176923076923078,5.573461730769231,127.26057692307693,44.0
2003-05-04,27.9125030525,24.161538461538463,5.613150384615385,128.58846153846153,44.0
2003-05-11,27.913663003659998,24.146153846153847,5.652839038461539,129.91634615384615,44.0
2003-05-18,27.91482295482,24.130769230769232,5.692527692307692,131.24423076923077,44.0
2003-05-25,27.91598290598,24.115384615384617,5.732216346153846,132.5721153846154,44.0
2003-06-01,27.91714285714,24.1,5.771905,133.9,44.0
2003-06-08,28.014691156459715,24.604285714285716,5.760693428571429,133.91714285714286,44.0
2003-06-15,28.112239455779427,25.10857142857143,5.749481857142857,133.93428571428572,44.0
2003-06-22,28.209787755099143,25.612857142857145,5.738270285714286,133.95142857142858,44.0
2003-06-29,28.307336054418858,26.11714285714286,5.727058714285715,133.96857142857144,44.0
2003-07-06,28.40488435373857,26.621428571428574,5.715847142857143,133.9857142857143,44.0
2003-07-13,28.502432653058285,27.125714285714288,5.704635571428572,134.00285714285715,44.0
2003-07-20,28.599980952378,27.630000000000003,5.693424,134.02,44.0
2003-07-27,28.697529251697716,28.134285714285717,5.682212428571429,134.03714285714287,44.0
2003-08-03,28.795077551017428,28.638571428571428,5.671000857142857,134.05428571428573,44.0
2003-08-10,28.892625850337144,29.142857142857142,5.659789285714286,134.07142857142858,44.0
2003-08-17,28.99017414965686,29.647142857142857,5.6485777142857145,134.08857142857144,44.0
2003-08-24,29.08772244897657,30.15142857142857,5.637366142857143,134.1057142857143,44.0
2003-08-31,29.185270748296286,30.655714285714286,5.626154571428572,134.12285714285716,44.0
2003-09-07,29.282819047616,31.16,5.614943,134.14000000000001,44.0
2003-09-14,29.380367346935714,31.664285714285715,5.603731428571429,134.15714285714287,44.0
2003-09-21,29.47791564625543,32.168571428571425,5.592519857142857,134.17428571428573,44.0
2003-09-28,29.575463945575144,32.67285714285714,5.581308285714286,134.1914285714286,44.0
2003-10-05,29.673012244894856,33.177142857142854,5.5700967142857145,134.20857142857142,44.0
2003-10-12,29.77056054421457,33.68142857142857,5.558885142857143,134.22571428571428,44.0
2003-10-19,29.868108843534287,34.18571428571428,5.547673571428572,134.24285714285713,44.0
2003-10-26,29.965657142854,34.69,5.536462,134.26,44.0
